batter_name,Role,Amount,Team,Year,Player Origin,matches,total_runs,dismissals,balls_faced,batting_avg,batting_sr,boundary_pct,non_boundary_sr,spinner_runs,spinner_dismissals,spinner_balls_faced,spinner_batting_avg,spinner_batting_sr,spinner_boundary_pct,spinner_non_boundary_sr,pacer_runs,pacer_dismissals,pacer_balls_faced,pacer_batting_avg,pacer_batting_sr,pacer_boundary_pct,pacer_non_boundary_sr
Ajinkya Rahane,Batsman,40000000,Rajasthan Royals,2018,Indian,70,2048,56,1730,36.57,118.38,13.87%,67.92,515,18,466,28.61,110.52,8.80%,78.82,1207,30,986,40.23,122.41,16.63%,60.95
Ajinkya Rahane,Batsman,10000000,Kolkata Knight Riders,2022,Indian,70,2048,56,1730,36.57,118.38,13.87%,67.92,515,18,466,28.61,110.52,8.80%,78.82,1207,30,986,40.23,122.41,16.63%,60.95
Akash Deep,Bowler,2000000,Royal Challengers Bangalore,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akash Singh,Bowler,2000000,Rajasthan Royals,2020,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akash Singh,Bowler,2000000,Rajasthan Royals,2021,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akhil Arvind Herwadkar,All-Rounder,1000000,Delhi Daredevils,2016,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akila Dananjaya,All-Rounder,1500000,Chennai Super Kings,2013,Overseas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akila Dhananjaya,Bowler,5000000,Mumbai Indians,2018,Overseas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akshar Rajesh Patel,All-Rounder,7500000,Kings XI Punjab,2014,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akshay Karnewar,All-Rounder,1000000,Royal Challengers Bangalore,2016,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akshay Wakhare,Bowler,1000000,Mumbai Indians,2015,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akshdeep Nath,All-Rounder,1000000,Gujarat Lions,2016,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akshdeep Nath,All-Rounder,1000000,Gujarat Lions,2017,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akshdeep Nath,All-Rounder,10000000,Kings XI Punjab,2018,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akshdeep Nath,All-Rounder,36000000,Royal Challengers Bangalore,2019,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albie Morkel,All-Rounder,24000000,Royal Challengers Bangalore,2014,Overseas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albie Morkel,All-Rounder,3000000,Delhi Daredevils,2015,Overseas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Carey,Wicket Keeper,24000000,Delhi Capitals,2020,Overseas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Hales,Batsman,15000000,Kolkata Knight Riders,2022,Overseas,68,1726,65,1256,26.55,137.42,20.06%,58.76,222,11,168,20.18,132.14,17.86%,62.32,696,29,512,24.00,135.94,20.70%,55.17
Alzarri Joseph,Bowler,24000000,Gujarat Titans,2022,Overseas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aman Khan,All-Rounder,2000000,Kolkata Knight Riders,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambati Rayudu,Wicket Keeper,22000000,Chennai Super Kings,2018,Indian,60,1283,50,1039,25.66,123.48,13.86%,70.06,393,14,338,28.07,116.27,9.47%,75.49,728,32,570,22.75,127.72,16.49%,65.55
Ambati Rayudu,Wicket Keeper,67500000,Chennai Super Kings,2022,Indian,60,1283,50,1039,25.66,123.48,13.86%,70.06,393,14,338,28.07,116.27,9.47%,75.49,728,32,570,22.75,127.72,16.49%,65.55
Amit Mishra,Bowler,1000000,Rajasthan Royals,2014,Indian,14,105,8,129,13.12,81.40,6.98%,57.50,9,2,22,4.50,40.91,0.00%,40.91,77,6,85,12.83,90.59,9.41%,58.44
Amit Mishra,Bowler,47500000,Sunrisers Hyderabad,2014,Indian,14,105,8,129,13.12,81.40,6.98%,57.50,9,2,22,4.50,40.91,0.00%,40.91,77,6,85,12.83,90.59,9.41%,58.44
Amit Mishra,Bowler,35000000,Delhi Daredevils,2015,Indian,14,105,8,129,13.12,81.40,6.98%,57.50,9,2,22,4.50,40.91,0.00%,40.91,77,6,85,12.83,90.59,9.41%,58.44
Amit Mishra,Bowler,1000000,Gujarat Lions,2016,Indian,14,105,8,129,13.12,81.40,6.98%,57.50,9,2,22,4.50,40.91,0.00%,40.91,77,6,85,12.83,90.59,9.41%,58.44
Amit Mishra,Bowler,40000000,Delhi Daredevils,2018,Indian,14,105,8,129,13.12,81.40,6.98%,57.50,9,2,22,4.50,40.91,0.00%,40.91,77,6,85,12.83,90.59,9.41%,58.44
Amit Paunikar,Wicket Keeper,2000000,Sunrisers Hyderabad,2014,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andre Russell,All-Rounder,6000000,Kolkata Knight Riders,2014,Overseas,66,1173,51,716,23.00,163.83,23.04%,64.43,282,12,186,23.50,151.61,20.43%,59.46,693,28,412,24.75,168.20,24.03%,65.50
Andrew Tye,Bowler,2000000,Chennai Super Kings,2015,Overseas,14,85,8,87,10.62,97.70,10.34%,52.56,8,3,11,2.67,72.73,9.09%,20.00,55,5,47,11.00,117.02,14.89%,57.50
Andrew Tye,All-Rounder,5000000,Gujarat Lions,2016,Overseas,14,85,8,87,10.62,97.70,10.34%,52.56,8,3,11,2.67,72.73,9.09%,20.00,55,5,47,11.00,117.02,14.89%,57.50
Andrew Tye,Bowler,72000000,Kings XI Punjab,2018,Overseas,14,85,8,87,10.62,97.70,10.34%,52.56,8,3,11,2.67,72.73,9.09%,20.00,55,5,47,11.00,117.02,14.89%,57.50
Andrew Tye,Bowler,10000000,Rajasthan Royals,2020,Overseas,14,85,8,87,10.62,97.70,10.34%,52.56,8,3,11,2.67,72.73,9.09%,20.00,55,5,47,11.00,117.02,14.89%,57.50
Aneeshwar Gautam,All-Rounder,2000000,Royal Challengers Bangalore,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angelo Mathews,All-Rounder,75000000,Delhi Daredevils,2015,Overseas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angelo Mathews,All-Rounder,20000000,Delhi Daredevils,2017,Overseas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aniket Choudhary,Bowler,20000000,Royal Challengers Bangalore,2017,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aniket Choudhary,Bowler,3000000,Royal Challengers Bangalore,2018,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anirudha Ashok Joshi,All-Rounder,2000000,Royal Challengers Bangalore,2018,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anirudha Ashok Joshi,All-Rounder,2000000,Rajasthan Royals,2020,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankeet Bawane,Batsman,1000000,Delhi Daredevils,2017,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankit Nagendra Sharma,Bowler,1000000,Rajasthan Royals,2014,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankit Sharma,All-Rounder,1000000,Rising Pune Supergiant,2016,Indian,5,44,3,39,14.67,112.82,15.38%,54.55,27,2,25,13.50,108.00,12.00%,59.09,16,1,13,16.00,123.08,23.08%,40.00
Ankit Sharma,All-Rounder,2000000,Rajasthan Royals,2018,Indian,5,44,3,39,14.67,112.82,15.38%,54.55,27,2,25,13.50,108.00,12.00%,59.09,16,1,13,16.00,123.08,23.08%,40.00
Ankit Singh Rajpoot,Bowler,15000000,Kolkata Knight Riders,2016,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankit Singh Rajpoot,Bowler,30000000,Kings XI Punjab,2018,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankit Singh Rajpoot,Bowler,5000000,Lucknow Super Giants,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankush Bains,Wicket Keeper,1000000,Rajasthan Royals,2014,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankush Bains,Wicket Keeper,1000000,Chennai Super Kings,2015,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankush Bains,Wicket Keeper,1000000,Rising Pune Supergiant,2016,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankush Bains,Wicket Keeper,2000000,Delhi Capitals,2019,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anmolpreet Singh,Batsman,8000000,Mumbai Indians,2019,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anmolpreet Singh,Batsman,2000000,Mumbai Indians,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anrich Nortje,Bowler,2000000,Kolkata Knight Riders,2019,Overseas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ansh Patel,All-Rounder,2000000,Punjab Kings,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anuj Rawat,Wicket Keeper,8000000,Rajasthan Royals,2020,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anuj Rawat,Wicket Keeper,34000000,Royal Challengers Bangalore,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anukul Roy,All-Rounder,2000000,Mumbai Indians,2018,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anukul Roy,All-Rounder,2000000,Kolkata Knight Riders,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anunay Singh,All-Rounder,2000000,Rajasthan Royals,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anureet Singh,Bowler,2000000,Kings XI Punjab,2014,Indian,6,18,3,31,6.00,58.06,3.23%,40.00,11,0,6,NA,183.33,16.67%,100.00,7,3,25,2.33,28.00,0.00%,28.00
Anureet Singh,Bowler,3000000,Rajasthan Royals,2018,Indian,6,18,3,31,6.00,58.06,3.23%,40.00,11,0,6,NA,183.33,16.67%,100.00,7,3,25,2.33,28.00,0.00%,28.00
Apoorv Vijay Wankhade,Batsman,1000000,Mumbai Indians,2014,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apoorv Vijay Wankhade,Batsman,2000000,Kolkata Knight Riders,2018,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arjun Tendulkar,All-Rounder,2000000,Mumbai Indians,2021,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arjun Tendulkar,All-Rounder,3000000,Mumbai Indians,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armaan Jaffer,Batsman,1000000,Kings XI Punjab,2016,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arshdeep Singh,Bowler,2000000,Kings XI Punjab,2019,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aryaman Vikram Birla,All-Rounder,3000000,Rajasthan Royals,2018,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aryan Juyal,Wicket Keeper,2000000,Mumbai Indians,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asela Gunarathna,Batsman,3000000,Mumbai Indians,2017,Overseas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashish Nehra,Bowler,20000000,Chennai Super Kings,2014,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashish Nehra,Bowler,55000000,Sunrisers Hyderabad,2016,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashish Reddy,Bowler,2000000,Sunrisers Hyderabad,2014,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashok Dinda,Bowler,15000000,Royal Challengers Bangalore,2014,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashok Dinda,Bowler,5000000,Rising Pune Supergiant,2016,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashok Sharma,Bowler,5500000,Kolkata Knight Riders,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashton Turner,All-Rounder,5000000,Rajasthan Royals,2019,Indian,19,229,13,165,17.62,138.79,12.73%,84.03,49,2,33,24.50,148.48,15.15%,82.14,97,5,60,19.40,161.67,15.00%,100.00
Ashwin Hebbar,Batsman,2000000,Delhi Capitals,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asif K M,Bowler,4000000,Chennai Super Kings,2018,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atharva Taide,All-Rounder,2000000,Punjab Kings,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avesh Khan,Bowler,7000000,Delhi Daredevils,2018,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avesh Khan,Bowler,100000000,Lucknow Super Giants,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Axar Rajesh Patel,All-Rounder,50000000,Delhi Capitals,2019,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ayush Badoni,All-Rounder,2000000,Lucknow Super Giants,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. Sai Sudharsan,All-Rounder,2000000,Gujarat Titans,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baba Aparajith,Batsman,1000000,Chennai Super Kings,2014,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baba Aparajith,All-Rounder,1000000,Rising Pune Supergiant,2016,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baba Indrajith,Wicket Keeper,2000000,Kolkata Knight Riders,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baltej Dhanda,Bowler,2000000,Punjab Kings,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bandaru Ayyappa,Bowler,2000000,Delhi Capitals,2019,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barinder Singh Saran,Bowler,1000000,Rajasthan Royals,2015,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barinder Singh Sran,Bowler,12000000,Sunrisers Hyderabad,2016,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barinder Singh Sran,Bowler,22000000,Kings XI Punjab,2018,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barinder Singh Sran,Bowler,34000000,Mumbai Indians,2019,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basil Thampi,Bowler,8500000,Gujarat Lions,2017,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basil Thampi,Bowler,9500000,Sunrisers Hyderabad,2018,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basil Thampi,Bowler,3000000,Mumbai Indians,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Cutting,Bowler,8000000,Rajasthan Royals,2014,Overseas,34,528,26,348,20.31,151.72,18.39%,70.42,101,11,91,9.18,110.99,12.09%,53.75,291,11,171,26.45,170.18,21.64%,76.87
Ben Cutting,All-Rounder,5000000,Sunrisers Hyderabad,2016,Overseas,34,528,26,348,20.31,151.72,18.39%,70.42,101,11,91,9.18,110.99,12.09%,53.75,291,11,171,26.45,170.18,21.64%,76.87
